,language,source_language,e
1226,dutch,Polish‎,2
1226,dutch,Portuguese‎,38
1226,dutch,Romani‎,3
1226,dutch,Russian‎,20
1226,dutch,Sanskrit‎,6
1226,dutch,Serbo-Croatian‎,1
1226,dutch,Spanish‎,113
1226,dutch,Sranan Tongo‎,41
1226,dutch,Sundanese‎,1
1226,dutch,Swahili‎,2
1226,dutch,Swedish‎,13
1226,dutch,Tamil‎,1
1226,dutch,Tarifit‎,1
1226,dutch,Telugu‎,1
1226,dutch,Tibetan‎,1
1226,dutch,Translingual‎,10
1226,dutch,Turkish‎,9
1226,dutch,Ukrainian‎,1
1226,dutch,Vietnamese‎,1
1226,dutch,Volapük‎,1
1226,dutch,Vulgar Latin‎,0
1226,dutch,Walloon‎,1
1226,dutch,West Flemish‎,1
1226,dutch,West Frisian‎,369
1226,dutch,Xhosa‎,1
1226,dutch,Yiddish‎,78
1227,dutch low saxon,Dutch‎,1
1241,dzongkha,Arabic‎,1
1241,dzongkha,English‎,4
1241,dzongkha,Middle Chinese‎,1
1241,dzongkha,Mongolian‎,1
1241,dzongkha,Nepali‎,3
1241,dzongkha,Persian‎,1
1241,dzongkha,Russian‎,1
1241,dzongkha,Sanskrit‎,1
1241,dzongkha,Serbo-Croatian‎,2
1246,early assamese,Sanskrit‎,8
1247,early modern korean,Chinese‎,0
1247,early modern korean,Early Mandarin‎,0
1247,early modern korean,Mandarin‎,1
1248,east central german,Polish‎,2
1248,east central german,Upper Sorbian‎,1
1251,east futuna,English‎,1
1256,eastern arrernte,English‎,1
1257,eastern bontoc,Spanish‎,4
1263,eastern huasteca nahuatl,Spanish‎,47
1268,eastern lawa,Northern Thai‎,8
1270,eastern maninkakan,Arabic‎,2
1271,eastern mari,Chuvash‎,3
1279,eastern pwo,Mon‎,7
1279,eastern pwo,Shan‎,1
1280,eastern tamang,Nepali‎,2
1293,egyptian,Akkadian‎,1
1293,egyptian,Ancient Greek‎,12
1293,egyptian,Hebrew‎,7
1293,egyptian,Hurrian‎,1
1293,egyptian,Latin‎,4
1293,egyptian,Meroitic‎,2
1293,egyptian,Northwest Semitic languages‎,3
1293,egyptian,Old Persian‎,8
1293,egyptian,Semitic languages‎,9
1293,egyptian,Sumerian‎,1
1294,egyptian arabic,Ancient Greek‎,1
1294,egyptian arabic,Arabic‎,8
1294,egyptian arabic,Classical Syriac‎,1
1294,egyptian arabic,Coptic‎,19
1294,egyptian arabic,English‎,9
1294,egyptian arabic,French‎,6
1294,egyptian arabic,Greek‎,3
1294,egyptian arabic,Hindi‎,1
1294,egyptian arabic,Italian‎,8
1294,egyptian arabic,Kipchak‎,1
1294,egyptian arabic,Latin‎,1
1294,egyptian arabic,Ottoman Turkish‎,29
1294,egyptian arabic,Persian‎,8
1294,egyptian arabic,Portuguese‎,1
1294,egyptian arabic,Swahili‎,1
1305,elamite,Old Persian‎,1
1321,emilian,English‎,1
1321,emilian,Hungarian‎,1
1321,emilian,Italian‎,1
1321,emilian,Old French‎,1
1321,emilian,Old Occitan‎,1
1328,english,A-Pucikwar‎,1
1328,english,Abaza‎,1
1328,english,Abenaki‎,1
1328,english,Abkhaz‎,1
1328,english,Abui‎,1
1328,english,Acadian French‎,1
1328,english,Adnyamathanha‎,1
1328,english,Adyghe‎,2
1328,english,Afrikaans‎,218
1328,english,Agawam‎,1
1328,english,Ainu‎,2
1328,english,Akan‎,20
1328,english,Akkadian‎,10
1328,english,Alabama‎,1
1328,english,Albanian‎,43
1328,english,Alemannic German‎,12
1328,english,Algerian Arabic‎,4
1328,english,Algonquian languages‎,1
1328,english,Algonquin‎,1
1328,english,Amharic‎,50
1328,english,Ancient Greek‎,1214
1328,english,Angami‎,1
1328,english,Angami-Pochuri languages‎,1
1328,english,Anglo-Norman‎,14
1328,english,Angloromani‎,11
1328,english,Antillean Creole‎,3
1328,english,Anuta‎,1
1328,english,Anyi‎,1
1328,english,Arabic‎,926
1328,english,Aramaic‎,7
1328,english,Armenian‎,191
1328,english,Assamese‎,18
1328,english,Asturian‎,5
1328,english,Atikamekw‎,3
1328,english,Atong,1
1328,english,Atong,1
1328,english,Attic Greek‎,1
1328,english,Austrian German‎,2
1328,english,Avestan‎,16
1328,english,Awabakal‎,1
1328,english,Aweer‎,1
1328,english,Aymara‎,2
1328,english,Azerbaijani‎,16
1328,english,Bahnar‎,2
1328,english,Bajan‎,1
1328,english,Balinese‎,7
1328,english,Bambara‎,5
1328,english,Bandjalang‎,1
1328,english,Bantu languages‎,7
1328,english,Basque‎,36
1328,english,Bavarian‎,2
1328,english,Belarusian‎,117
1328,english,Belizean Creole‎,1
1328,english,Bemba‎,3
1328,english,Bengali‎,119
1328,english,Berber languages‎,2
1328,english,Biblical Hebrew‎,32
1328,english,Bikol Central‎,3
1328,english,Bislama‎,4
1328,english,Blackfoot‎,0
1328,english,Bohairic Coptic‎,1
1328,english,Brazilian Portuguese‎,30
1328,english,Breton‎,4
1328,english,Brythonic languages‎,1
1328,english,Bube‎,1
1328,english,Buginese‎,1
1328,english,Bulgarian‎,51
1328,english,Bulu,1
1328,english,Burmese‎,113
1328,english,Burushaski‎,1
1328,english,Byzantine Greek‎,21
1328,english,Caddo‎,1
1328,english,Cajun French‎,11
1328,english,Calusa‎,1
1328,english,Camtho‎,1
1328,english,Canadian French‎,10
1328,english,Cantonese‎,142
1328,english,Cariban languages‎,1
1328,english,Caribbean Hindustani‎,1
1328,english,Catalan‎,121
1328,english,Catawba‎,1
1328,english,Catuquinaru‎,1
1328,english,Cazcan‎,1
1328,english,Cebuano‎,36
1328,english,Celtic languages‎,4
1328,english,Central Atlas Tamazight‎,3
1328,english,Central Kurdish‎,3
1328,english,Chamorro‎,8
1328,english,Cherokee‎,3
1328,english,Chichewa‎,3
1328,english,Chickasaw‎,1
1328,english,Chinese‎,102
1328,english,Chinese Pidgin English‎,9
1328,english,Chinook‎,2
1328,english,Chinook Jargon‎,16
1328,english,Chipewyan‎,1
1328,english,Chiwere‎,1
1328,english,Choctaw‎,3
1328,english,Chumashan languages‎,1
1328,english,Chuukese‎,1
1328,english,Cia-Cia‎,1
1328,english,Classical Mongolian‎,1
1328,english,Classical Nahuatl‎,27
1328,english,Classical Persian‎,8
1328,english,Classical Syriac‎,5
1328,english,Cocopa‎,1
1328,english,Coptic‎,8
1328,english,Cornish‎,13
1328,english,Corsican‎,3
1328,english,Cree‎,10
1328,english,Creek‎,6
1328,english,Crow‎,3
1328,english,Cumbric‎,1
1328,english,Cupeño‎,1
1328,english,Czech‎,201
1328,english,Dakota‎,4
1328,english,Danish‎,114
1328,english,Dari‎,1
1328,english,Deccani‎,1
1328,english,Demotic‎,1
1328,english,Dharug‎,28
1328,english,Dhivehi‎,7
1328,english,Dhuwal‎,1
1328,english,Dinka‎,2
1328,english,Ditidaht‎,1
1328,english,Dogri‎,2
1328,english,Dogrib‎,2
1328,english,Duala‎,1
1328,english,Dutch‎,585
1328,english,Dutch Low Saxon‎,2
1328,english,Dzongkha‎,12
1328,english,E‎,1
1328,english,Early Scots‎,1
1328,english,Eastern Algonquian languages‎,6
1328,english,Eastern Arrernte‎,1
1328,english,Eastern Mari‎,2
1328,english,Eastern Mnong‎,2
1328,english,Eastern Polynesian languages‎,1
1328,english,Ecclesiastical Latin‎,15
1328,english,Edo‎,3
1328,english,Efik‎,1
1328,english,Egyptian‎,58
1328,english,Egyptian Arabic‎,16
1328,english,Erzya‎,2
1328,english,Esan‎,1
1328,english,Esperanto‎,5
1328,english,Estonian‎,7
1328,english,Evenki‎,2
1328,english,Eyak‎,1
1328,english,Fanagalo‎,1
1328,english,Faroese‎,12
1328,english,Fijian‎,3
1328,english,Finnish‎,63
1328,english,Fon‎,4
1328,english,Fore‎,1
1328,english,Fox‎,1
1328,english,Franco-Provençal‎,1
1328,english,Frankish‎,1
1328,english,French‎,5191
1328,english,Fula‎,6
1328,english,Ga‎,4
1328,english,Gabrielino-Fernandeño‎,1
1328,english,Galibi Carib‎,3
1328,english,Galician‎,44
1328,english,Gamilaraay‎,8
1328,english,Gan‎,0
1328,english,Garhwali‎,1
1328,english,Ge'ez‎,8
1328,english,Georgian‎,78
1328,english,German‎,2860
1328,english,German Low German‎,2
1328,english,Germanic languages‎,6
1328,english,Gilbertese‎,3
1328,english,Goidelic languages‎,1
1328,english,Gonja‎,1
1328,english,Gorontalo‎,1
1328,english,Gothic‎,2
1328,english,Greek‎,217
1328,english,Green Hmong‎,0
1328,english,Greenlandic‎,7
1328,english,Gujarati‎,39
1328,english,Gulf Arabic‎,3
1328,english,Gullah‎,3
1328,english,Guugu Yimidhirr‎,1
1328,english,Guyanese Creole English‎,5
1328,english,Gwich'in‎,2
1328,english,Hadza‎,2
1328,english,Haida‎,2
1328,english,Haitian Creole‎,13
1328,english,Haiǁom‎,1
1328,english,Hakka‎,6
1328,english,Halkomelem‎,1
1328,english,Hausa‎,20
1328,english,Havasupai-Walapai-Yavapai‎,1
1328,english,Hawaiian‎,174
1328,english,Hebrew‎,411
1328,english,Heiltsuk‎,1
1328,english,Herero‎,1
1328,english,Hidatsa‎,3
1334,epie,Hausa‎,1
1342,erzya,Ancient Greek‎,0
1342,erzya,English‎,0
1342,erzya,Finnish‎,0
1342,erzya,German‎,0
1342,erzya,Proto-Balto-Slavic‎,1
1342,erzya,Russian‎,2
1342,erzya,Tatar‎,3
1342,erzya,Turkic languages‎,1
1342,erzya,Turkish‎,1
1350,esperanto,Akkadian‎,1
1350,esperanto,Ancient Greek‎,50
1350,esperanto,Arabic‎,20
1350,esperanto,Armenian‎,1
1350,esperanto,Azerbaijani‎,2
1350,esperanto,Bambara‎,1
1350,esperanto,Basque‎,1
1350,esperanto,Belarusian‎,1
1350,esperanto,Bengali‎,1
1350,esperanto,Biblical Hebrew‎,4
1350,esperanto,British English‎,1
1350,esperanto,Canadian French‎,1
1350,esperanto,Chichewa‎,1
1350,esperanto,Chinese‎,3
1350,esperanto,Classical Nahuatl‎,1
1350,esperanto,Czech‎,1
1350,esperanto,Danish‎,3
1350,esperanto,Dharug‎,1
1350,esperanto,Dhivehi‎,1
1350,esperanto,Dutch‎,12
1350,esperanto,Egyptian Arabic‎,1
1350,esperanto,English‎,545
1350,esperanto,Finnish‎,3
1350,esperanto,French‎,607
1350,esperanto,Georgian‎,1
1350,esperanto,German‎,330
1350,esperanto,Germanic languages‎,0
1350,esperanto,Gogo‎,1
1350,esperanto,Greek‎,2
1350,esperanto,Hawaiian‎,2
1350,esperanto,Hebrew‎,16
1350,esperanto,Hindi‎,2
1350,esperanto,Hungarian‎,4
1350,esperanto,Ido‎,26
1350,esperanto,Indonesian‎,1
1350,esperanto,Interlingua‎,1
1350,esperanto,Interlingue‎,2
1350,esperanto,Irish‎,2
1350,esperanto,Italian‎,261
1350,esperanto,Japanese‎,30
1350,esperanto,Kazakh‎,1
1350,esperanto,Koine Greek‎,1
1350,esperanto,Korean‎,1
1350,esperanto,Late Latin‎,3
1350,esperanto,Latin‎,359
1350,esperanto,Lithuanian‎,1
1350,esperanto,Lojban‎,1
1350,esperanto,Louisiana Creole French‎,1
1350,esperanto,Lule Sami‎,1
1350,esperanto,Láadan‎,1
1350,esperanto,Malay‎,1
1350,esperanto,Maltese‎,1
1350,esperanto,Mandarin‎,7
1350,esperanto,Medieval Latin‎,2
1350,esperanto,Mexican Spanish‎,1
1350,esperanto,Mongolian‎,1
1350,esperanto,New Latin‎,14
1350,esperanto,Niuean‎,1
1350,esperanto,Northern Sami‎,1
1350,esperanto,Norwegian‎,3
1350,esperanto,Novial‎,1
1350,esperanto,Old French‎,2
1350,esperanto,Pashto‎,1
1350,esperanto,Persian‎,1
1350,esperanto,Pite Sami‎,1
1350,esperanto,Polish‎,103
1350,esperanto,Portuguese‎,17
1350,esperanto,Punjabi‎,1
1350,esperanto,Rarotongan‎,1
1350,esperanto,Romance languages‎,8
1350,esperanto,Romanian‎,1
1350,esperanto,Russian‎,144
1350,esperanto,Samoan‎,1
1350,esperanto,Sanskrit‎,5
1350,esperanto,Serbo-Croatian‎,2
1350,esperanto,Sicilian‎,1
1350,esperanto,Slavic languages‎,1
1350,esperanto,Slovak‎,1
1350,esperanto,Southern Sami‎,1
1350,esperanto,Spanish‎,74
1350,esperanto,Swahili‎,2
1350,esperanto,Swedish‎,4
1350,esperanto,Talossan‎,1
1350,esperanto,Tibetan‎,1
1350,esperanto,Translingual‎,6
1350,esperanto,Tswana‎,1
1350,esperanto,Turkish‎,1
1350,esperanto,Tuvaluan‎,1
1350,esperanto,Ukrainian‎,3
1350,esperanto,Ume Sami‎,1
1350,esperanto,Urdu‎,2
1350,esperanto,Uyghur‎,1
1350,esperanto,Vietnamese‎,2
1350,esperanto,Volapük‎,1
1350,esperanto,Welsh‎,1
1350,esperanto,West Frisian‎,0
1350,esperanto,Xhosa‎,1
1350,esperanto,Yiddish‎,38
1353,estonian,Ancient Greek‎,3
1353,estonian,Arabic‎,1
1353,estonian,Baltic languages‎,2
1353,estonian,Czech‎,2
1353,estonian,Danish‎,4
1353,estonian,Dutch‎,2
1353,estonian,English‎,42
1353,estonian,Finnish‎,52
1353,estonian,French‎,18
1353,estonian,German‎,179
1353,estonian,German Low German‎,2
1353,estonian,Germanic languages‎,1
1353,estonian,Hebrew‎,1
1353,estonian,Hindi‎,1
1353,estonian,Italian‎,3
1353,estonian,Latin‎,10
1353,estonian,Latvian‎,1
1353,estonian,Livonian‎,2
1353,estonian,Medieval Latin‎,1
1353,estonian,Middle Low German‎,42
1353,estonian,New Latin‎,3
1353,estonian,Norwegian‎,1
1353,estonian,Old East Slavic‎,6
1353,estonian,Old High German‎,1
1353,estonian,Old Norse‎,1
1353,estonian,Old Swedish‎,4
1353,estonian,Polish‎,1
1353,estonian,Portuguese‎,1
1353,estonian,Proto-Baltic‎,2
1353,estonian,Proto-Iranian‎,0
1353,estonian,Proto-Norse‎,1
1353,estonian,Romanian‎,1
1353,estonian,Russian‎,48
1353,estonian,Slovak‎,1
1353,estonian,Spanish‎,6
1353,estonian,Swedish‎,12
1353,estonian,West Germanic languages‎,1
1363,etruscan,Ancient Greek‎,5
1363,etruscan,Latin‎,2
1363,etruscan,Phoenician‎,1
1363,etruscan,Proto-Italic‎,1
1367,evenki,Middle Mongolian‎,1
1367,evenki,Mongolian‎,1
1367,evenki,Russian‎,1
1370,extremaduran,Latin‎,1
1374,fala,Latin‎,1
1374,fala,Spanish‎,1
1377,fanagalo,English‎,17
1382,farefare,Akan‎,5
1382,farefare,Arabic‎,7
1382,farefare,Dutch‎,0
1382,farefare,English‎,12
1382,farefare,French‎,5
1382,farefare,German‎,1
1382,farefare,Japanese‎,0
1382,farefare,Latin‎,1
1382,farefare,Moore‎,1
1383,faroese,Ancient Greek‎,2
1383,faroese,Aymara‎,2
1383,faroese,Belarusian‎,0
1383,faroese,Bislama‎,1
1383,faroese,Danish‎,32
1383,faroese,English‎,10
1383,faroese,French‎,4
1383,faroese,Gaulish‎,1
1383,faroese,German‎,8
1383,faroese,Hungarian‎,1
1383,faroese,Icelandic‎,1
1383,faroese,Irish‎,1
1383,faroese,Italian‎,2
1383,faroese,Late Latin‎,1
1383,faroese,Latin‎,12
1383,faroese,Middle Dutch‎,1
1383,faroese,Middle Irish‎,1
1383,faroese,Middle Low German‎,5
1383,faroese,Old English‎,1
1383,faroese,Quechua‎,3
1383,faroese,Semitic languages‎,1
1383,faroese,Spanish‎,6
1383,faroese,Swedish‎,2
1383,faroese,Taíno‎,1
1383,faroese,Turkish‎,2
1383,faroese,ǃXóõ‎,1
1391,fiji hindi,Arabic‎,1
1391,fiji hindi,English‎,71
1391,fiji hindi,Fijian‎,1
1391,fiji hindi,Hindi‎,1
1391,fiji hindi,Sanskrit‎,1
1392,fijian,English‎,2
1393,finnish,Aari‎,1
1393,finnish,Alemannic German‎,1
1393,finnish,Ancient Greek‎,53
1393,finnish,Arabic‎,10
1393,finnish,Bengali‎,1
1393,finnish,Burmese‎,2
1393,finnish,Chinese‎,1
1393,finnish,Cia-Cia‎,1
1393,finnish,Czech‎,1
1393,finnish,Danish‎,2
1393,finnish,Dutch‎,7
1393,finnish,Eastern Mari‎,1
1393,finnish,English‎,587
1393,finnish,Erzya‎,1
1393,finnish,Estonian‎,12
1393,finnish,French‎,99
1393,finnish,German‎,106
1393,finnish,Germanic languages‎,3
1393,finnish,Greek‎,5
1393,finnish,Gutnish‎,1
1393,finnish,Hebrew‎,15
1393,finnish,Hungarian‎,8
1393,finnish,Icelandic‎,3
1393,finnish,Inari Sami‎,2
1393,finnish,Ingrian‎,1
1393,finnish,Italian‎,63
1393,finnish,Japanese‎,45
1393,finnish,Javanese‎,1
1393,finnish,Kalo Finnish Romani‎,2
1393,finnish,Karelian‎,6
1393,finnish,Kildin Sami‎,1
1393,finnish,Korean‎,6
1393,finnish,Late Latin‎,7
1393,finnish,Latin‎,148
1393,finnish,Latvian‎,2
1393,finnish,Lithuanian‎,1
1393,finnish,Livvi‎,1
1393,finnish,Ludian‎,1
1393,finnish,Malagasy‎,1
1393,finnish,Malay‎,1
1393,finnish,Mandarin‎,1
1393,finnish,Mansi‎,1
1393,finnish,Maori‎,1
1393,finnish,Medieval Latin‎,4
1393,finnish,Meänkieli‎,1
1393,finnish,Middle French‎,1
1393,finnish,Middle High German‎,0
1393,finnish,Moksha‎,1
1393,finnish,New Latin‎,5
1393,finnish,North Germanic languages‎,2
1393,finnish,Northern Sami‎,5
1393,finnish,Norwegian‎,3
1393,finnish,Old East Slavic‎,34
1393,finnish,Old Gutnish‎,1
1393,finnish,Old Norse‎,23
1393,finnish,Old Novgorodian‎,1
1393,finnish,Old Swedish‎,120
1393,finnish,Persian‎,1
1393,finnish,Portuguese‎,4
1393,finnish,Proto-Baltic‎,4
1393,finnish,Proto-Finnic‎,0
1393,finnish,Proto-Germanic‎,30
1393,finnish,Proto-Norse‎,41
1393,finnish,Proto-Samic‎,3
1393,finnish,Proto-Slavic‎,2
1393,finnish,Romanian‎,1
1393,finnish,Russian‎,229
1393,finnish,Sami languages‎,34
1393,finnish,Sanskrit‎,5
1393,finnish,Scots‎,0
1393,finnish,Serbo-Croatian‎,1
1393,finnish,Spanish‎,29
1393,finnish,Swahili‎,1
1393,finnish,Swedish‎,1244
1393,finnish,Tatar‎,1
1393,finnish,Telugu‎,1
1393,finnish,Translingual‎,1
1393,finnish,Turkish‎,6
1393,finnish,Udmurt‎,1
1393,finnish,Võro‎,1
1412,francisco león zoque,Spanish‎,11
1413,franco-provençal,Frankish‎,1
1413,franco-provençal,French‎,2
1413,franco-provençal,Latin‎,5
1413,franco-provençal,Medieval Latin‎,1
1413,franco-provençal,Occitan‎,1
1414,french,Albanian‎,2
1414,french,Alemannic German‎,12
1414,french,Algerian Arabic‎,16
1414,french,Algonquian languages‎,1
1414,french,Algonquin‎,1
1414,french,American English‎,2
1414,french,Amharic‎,1
1414,french,Ancient Greek‎,402
1414,french,Anyi‎,3
1414,french,Arabic‎,159
1414,french,Armenian‎,5
1414,french,Assamese‎,1
1414,french,Atikamekw‎,2
1414,french,Azerbaijani‎,2
1414,french,Bahnar‎,2
1414,french,Bambara‎,4
1414,french,Bantu languages‎,1
1414,french,Basque‎,2
1414,french,Bavarian‎,1
1414,french,Belarusian‎,3
1414,french,Bengali‎,1
1414,french,Berber languages‎,1
1414,french,Biblical Hebrew‎,1
1414,french,Breton‎,59
1414,french,Cajun French‎,1
1414,french,Cantonese‎,1
1414,french,Catalan‎,13
1414,french,Central Franconian‎,1
1414,french,Chinese‎,8
1414,french,Chinook Jargon‎,1
1414,french,Choctaw‎,4
1414,french,Classical Nahuatl‎,1
1414,french,Corsican‎,3
1414,french,Cree‎,1
1414,french,Czech‎,3
1414,french,Dakota‎,1
1414,french,Danish‎,5
1414,french,Dutch‎,52
1414,french,Eastern Mnong‎,2
1414,french,Ecclesiastical Latin‎,61
1414,french,Egyptian Arabic‎,2
1414,french,English‎,822
1414,french,Evenki‎,1
1414,french,Finnish‎,0
1414,french,Fon‎,2
1414,french,Franco-Provençal‎,11
1414,french,Frankish‎,10
1414,french,Fula‎,2
1414,french,Gallo‎,1
1414,french,Gaulish‎,8
1414,french,Georgian‎,2
1414,french,German‎,127
1414,french,Greek‎,7
1414,french,Guianese Creole‎,1
1414,french,Haitian Creole‎,3
1414,french,Hausa‎,1
1414,french,Hawaiian‎,1
1414,french,Hebrew‎,12
1414,french,Hindi‎,4
1414,french,Hungarian‎,6
1414,french,Icelandic‎,3
1414,french,Indonesian‎,1
1414,french,Inuktitut‎,5
1414,french,Italian‎,435
1414,french,Japanese‎,107
1414,french,Kabyle‎,1
1414,french,Kazakh‎,3
1414,french,Khmer‎,1
1414,french,Kongo‎,1
1414,french,Korean‎,7
1414,french,Lao‎,1
1414,french,Late Latin‎,328
1414,french,Latin‎,2702
1414,french,Lombard‎,1
1414,french,Low German‎,1
1414,french,Macedonian‎,1
1414,french,Malagasy‎,6
1414,french,Malay‎,6
1414,french,Maltese‎,1
1414,french,Mandarin‎,8
1414,french,Mande languages‎,6
1414,french,Mandingo‎,1
1414,french,Mandinka‎,1
1414,french,Maore Comorian‎,1
1414,french,Maori‎,1
1414,french,Medieval Latin‎,172
1414,french,Mi'kmaq‎,1
1414,french,Middle Dutch‎,7
1414,french,Middle English‎,4
1414,french,Middle French‎,6
1414,french,Middle High German‎,3
1414,french,Middle Low German‎,1
1414,french,Middle Persian‎,1
1414,french,Mohawk‎,3
1414,french,Montagnais‎,1
1414,french,Moroccan Arabic‎,16
1414,french,Mwali Comorian‎,1
1414,french,Nahuatl‎,1
1414,french,Ndzwani Comorian‎,1
1414,french,Neapolitan‎,3
1414,french,New Latin‎,44
1414,french,Ngazidja Comorian‎,1
1414,french,Norman‎,11
1414,french,Norwegian‎,7
1414,french,Nzima‎,1
1414,french,Occitan‎,438
1414,french,Ojibwe‎,0
1414,french,Old English‎,1
1414,french,Old French‎,5
1414,french,Old Frisian‎,1
1414,french,Old High German‎,1
1414,french,Old Italian‎,2
1414,french,Old Norse‎,12
1414,french,Old Northern French‎,2
1414,french,Old Occitan‎,61
1414,french,Old Provençal‎,2
1414,french,Old Tupi‎,5
1414,french,Ottoman Turkish‎,16
1414,french,Pali‎,1
1414,french,Persian‎,9
1414,french,Picard‎,4
1414,french,Piedmontese‎,1
1414,french,Polish‎,19
1414,french,Portuguese‎,39
1414,french,Proto-Celtic‎,2
1414,french,Provençal‎,11
1414,french,Punjabi‎,1
1414,french,Quechua‎,1
1414,french,Renaissance Latin‎,1
1414,french,Romagnol‎,1
1414,french,Romani‎,14
1414,french,Romanian‎,24
1414,french,Romansch‎,1
1414,french,Russian‎,59
1414,french,Réunion Creole French‎,2
1414,french,Sanskrit‎,2
1414,french,Scottish Gaelic‎,1
1414,french,Serbo-Croatian‎,3
1414,french,Sinte Romani‎,1
1414,french,Slovak‎,2
1414,french,Somali‎,1
1414,french,Soninke‎,3
1414,french,Spanish‎,175
1414,french,Sundanese‎,1
1414,french,Swahili‎,5
1414,french,Swedish‎,7
1414,french,Tahitian‎,2
1414,french,Tashelhit‎,2
1414,french,Taíno‎,1
1414,french,Telugu‎,1
1414,french,Tibetan‎,2
1414,french,Translingual‎,9
1414,french,Tuareg‎,1
1414,french,Tunisian Arabic‎,1
1414,french,Tupian languages‎,1
1414,french,Turkish‎,7
1414,french,Ukrainian‎,3
1414,french,Urdu‎,1
1414,french,Uyghur‎,2
1414,french,Valencian‎,1
1414,french,Venetian‎,3
1414,french,Vietnamese‎,39
1414,french,Vulgar Latin‎,5
1414,french,Walloon‎,5
1414,french,Wolof‎,6
1414,french,Wyandot‎,1
1414,french,Yaka‎,1
1414,french,Yiddish‎,2
1414,french,Yoruba‎,1
1417,friulian,Frankish‎,1
1417,friulian,French‎,1
1417,friulian,Italian‎,4
1417,friulian,Late Latin‎,1
1417,friulian,Latin‎,27
1417,friulian,Lombardic‎,1
1417,friulian,Medieval Latin‎,2
1417,friulian,Proto-Albanian‎,1
1417,friulian,Slovene‎,5
1417,friulian,Spanish‎,1
1417,friulian,Venetian‎,1
1418,fula,Arabic‎,44
1418,fula,Bambara‎,4
1418,fula,French‎,6
1418,fula,Hausa‎,3
1418,fula,Mande languages‎,1
1418,fula,Mandinka‎,2
1418,fula,Soninke‎,1
1418,fula,Susu‎,1
1418,fula,Western Mande languages‎,1
1444,gagauz,Ancient Greek‎,2
1444,gagauz,Arabic‎,3
1444,gagauz,Aromanian‎,1
1444,gagauz,Greek‎,1
1444,gagauz,Ottoman Turkish‎,1
1444,gagauz,Persian‎,2
1444,gagauz,Romanian‎,2
1444,gagauz,Russian‎,6
1444,gagauz,Turkish‎,1
1451,galibi carib,Old Tupi‎,1
1453,galician,a pre-Roman substrate of Iberia‎,8
1453,galician,Ancient Greek‎,11
1453,galician,Andalusian Arabic‎,15
1453,galician,Arabic‎,26
1453,galician,Asturian‎,2
1453,galician,Basque‎,3
1453,galician,Catalan‎,18
1453,galician,Classical Nahuatl‎,1
1453,galician,Ecclesiastical Latin‎,11
1453,galician,English‎,41
1453,galician,French‎,108
1453,galician,German‎,4
1453,galician,Germanic languages‎,3
1453,galician,Gothic‎,4
1453,galician,Iberian‎,1
1453,galician,Irish‎,1
1453,galician,Italian‎,33
1453,galician,Japanese‎,4
1453,galician,Korean‎,1
1453,galician,Late Latin‎,49
1453,galician,Latin‎,482
1453,galician,Leonese‎,2
1453,galician,Malay‎,1
1453,galician,Medieval Latin‎,29
1453,galician,Middle English‎,4
1453,galician,Middle French‎,11
1453,galician,Middle High German‎,3
1453,galician,Mozarabic‎,2
1453,galician,Neapolitan‎,1
1453,galician,New Latin‎,7
1453,galician,Occitan‎,8
1453,galician,Old Catalan‎,2
1453,galician,Old English‎,1
1453,galician,Old French‎,215
1453,galician,Old Leonese‎,2
1453,galician,Old Norse‎,1
1453,galician,Old Northern French‎,2
1453,galician,Old Occitan‎,54
1453,galician,Old Spanish‎,19
1453,galician,Portuguese‎,8
1453,galician,Proto-Germanic‎,1
1453,galician,Scottish Gaelic‎,1
1453,galician,Sicilian‎,1
1453,galician,Spanish‎,80
1453,galician,Tagalog‎,1
1453,galician,Venetian‎,1
1455,gallo,Latin‎,1
1456,gallurese,Catalan‎,2
1456,gallurese,Italian‎,3
1456,gallurese,Romance languages‎,1
1458,gamale kham,Nepali‎,9
1460,gamilaraay,English‎,7
1465,gandhari,Ancient Greek‎,1
1465,gandhari,Bactrian‎,1
1465,gandhari,Iranian languages‎,1
1465,gandhari,Parthian‎,1
1465,gandhari,Proto-Saka‎,29
1465,gandhari,Scythian languages‎,15
1471,garhwali,Classical Persian‎,1
1471,garhwali,Sanskrit‎,1
1472,garifuna,French‎,4
1472,garifuna,Galibi Carib‎,3
1473,garo,Assamese‎,9
1473,garo,Bengali‎,72
1473,garo,Sanskrit‎,1
1477,gaulish,Latin‎,2
1498,ge'ez,Ancient Greek‎,10
1498,ge'ez,Arabic‎,23
1498,ge'ez,Aramaic‎,17
1498,ge'ez,Cushitic languages‎,3
1498,ge'ez,Hebrew‎,2
1498,ge'ez,Sabaean‎,2
1507,georgian,Abkhaz‎,1
1507,georgian,Ancient Greek‎,34
1507,georgian,Arabic‎,64
1507,georgian,Armenian‎,71
1507,georgian,Armenian languages‎,5
1507,georgian,Azerbaijani‎,6
1507,georgian,Byzantine Greek‎,1
1507,georgian,Chinese‎,0
1507,georgian,Circassian languages‎,1
1507,georgian,Classical Persian‎,1
1507,georgian,Digor‎,1
1507,georgian,Dutch‎,3
1507,georgian,English‎,142
1507,georgian,French‎,24
1507,georgian,German‎,9
1507,georgian,Greek‎,5
1507,georgian,Hebrew‎,3
1507,georgian,Hungarian‎,1
1507,georgian,Iranian languages‎,22
1507,georgian,Italian‎,8
1507,georgian,Japanese‎,1
