,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label,label_bin,DNN_logits,mbert_cos,xlm_cos,ass_bert_mbert_cos,indic_bert_cos,muril_cos,mbertxlm,mbertass_bert,mbertindic_bert,mbertmuril,xlmmbert,xlmass_bert,xlmindic_bert,xlmmuril,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril,indic_bertmbert,indic_bertxlm,indic_bertass_bert,indic_bertmuril,murilmbert,murilxlm,murilass_bert,murilindic_bert,mbert_src_assbert_trg
302,302,302,302,285,285,ৰাষ্ট্ৰ,প্রকাশ,ɹaxtɹɔ,prɔkaʃ,The State,Revealed,1,0.666666666666667,0.302083333333333,0.361111111111111,5.66666666666667,0.302083333333333,7,Bengali,Bengali,synonym,0,-16.42221,0.758348047733307,0.687490165233612,0.422236651182175,0.998999536037445,0.999555468559265,0.639837,-0.04170432,0.9987923,0.99949545,0.7587997,-0.036350287,0.99894965,0.9995523,0.78758526,0.63139105,0.99950093,0.9996848,0.99652606,0.9926289,-0.037322782,0.9999397,0.9986955,0.9984085,-0.03751991,0.9999109,-0.010871063
303,303,303,303,277,277,যোনি,যোনি,zʊni,d͡zon̪i,Vagina,Vagina,0.571428571428571,0.25,0.052083333333333,0.052083333333333,0.625,0.052083333333333,0,Bengali,Bengali,loan,1,3.7721744,0.99999988079071,1,0.503539264202118,0.996007919311523,0.999940514564514,0.9621952,-0.03793447,0.9977032,0.9998141,0.9999923,-0.039469056,0.9960112,0.9999406,0.9873174,0.93482184,0.99790645,0.99990743,0.99691904,0.9902042,-0.038200337,0.99988866,0.99888927,0.998501,-0.037547864,0.99992263,0.052261114
305,305,305,305,13,13,আমি,গলা,ami,ɡɔla,I,Throat,1,0.5,0.34375,0.375,3.28125,0.369791666666667,3,Bengali,Bengali,random,0,-4.2740126,0.6907057762146,0.59139609336853,0.493737071752548,0.998529732227325,0.999496638774872,0.6290212,-0.034918457,0.99877214,0.99957454,0.6907549,-0.034310013,0.99852693,0.9994994,0.8403187,0.81223845,0.9994891,0.9996927,0.99731004,0.9937544,-0.03801854,0.9999543,0.9988411,0.99851876,-0.037520565,0.9999071,0.049066495
306,306,306,306,74,74,গলা,কণ্ঠ,gɔla,kɔnʈʰɔ,Throat,Voice,0.833333333333333,0.6,0.420833333333333,0.458333333333333,3.65,0.458333333333333,4,Bengali,Bengali,synonym,0,-13.326733,0.895214796066284,0.667044460773468,0.374041646718979,0.999284088611603,0.999737977981567,0.7012974,-0.028781727,0.9992708,0.99978095,0.89547527,-0.028232887,0.9992857,0.99973977,0.8887363,0.7678873,0.9991203,0.9993367,0.9975903,0.99197054,-0.03747566,0.9999524,0.99890274,0.9985267,-0.03760825,0.9999229,0.080991775
308,308,308,308,56,56,কৃষ্ণ,কানু,kɽixnɔ,kan̪u,Krishna,Kanu,0.833333333333333,0.333333333333333,0.329861111111111,0.375,2.83333333333333,0.375,4,Bengali,Bengali,synonym,0,-6.167493,0.879759848117828,0.728399157524109,0.436441153287888,0.999307692050934,0.998766481876373,0.7666718,-0.042199112,0.9997022,0.99920624,0.88001597,-0.043281667,0.9993077,0.9987646,0.9170652,0.8410711,0.9998131,0.9993368,0.99860406,0.996178,-0.038686533,0.99994844,0.9986624,0.9978879,-0.037155464,0.9999453,0.04592651
310,310,310,310,9,9,অনুমতি,আগুন,ɔnumti,aɡun̪,Permission,Fire,0.833333333333333,0.666666666666667,0.392361111111111,0.430555555555556,3.66666666666667,0.423611111111111,5,Bengali,Bengali,random,0,-6.5374823,0.82479465007782,0.533662080764771,0.525768637657166,0.998794496059418,0.999735593795776,0.60618806,-0.030365404,0.9989541,0.99980086,0.8250965,-0.032888822,0.9988036,0.99973685,0.8616446,0.68793476,0.99951625,0.99977976,0.99777365,0.99463665,-0.037418537,0.99995005,0.998896,0.9985173,-0.03764531,0.99991524,0.057874456
311,311,311,311,194,194,পিতা,আব্বু,pita,abu,Father,Dad,1,0.5,0.333333333333333,0.364583333333333,3.03125,0.359375,5,Bengali,Bengali,synonym,0,-15.583557,0.863950967788696,0.628587245941162,0.415987610816956,0.999060451984406,0.997898757457733,0.69596684,-0.03311425,0.99901515,0.998881,0.8643179,-0.036086485,0.99912775,0.9979047,0.88703406,0.7879618,0.9995356,0.9991049,0.9969171,0.99549234,-0.03722839,0.999945,0.99831116,0.99708724,-0.03673076,0.99995077,-0.036398064
313,313,313,313,8,8,অক্ষ,রুদ্রাক্ষ,ɔkʰjɔ,rud̪rakkʰɔ,Axis,Rudraksha,0.8,0.625,0.486979166666667,0.552083333333333,4.53125,0.552083333333333,6,Bengali,Bengali,synonym,0,-20.875025,0.852154970169067,0.835053503513336,0.501450538635254,0.999083459377289,0.996788263320923,0.8618635,-0.023399062,0.9993819,0.99757093,0.8524416,-0.0076303333,0.9990569,0.9968675,0.87379533,0.8799518,0.99957025,0.9961821,0.9967123,0.9954771,-0.035732873,0.99996454,0.99803656,0.99650407,-0.036522187,0.9999578,0.03728849
316,316,316,316,22,22,আঠ,মকাই,atʰ,mɔkai,eight,Maize,1,0.8,0.616666666666667,0.683333333333333,5.175,0.679166666666667,4,Bengali,Bengali,random,0,-10.141809,0.894735515117645,0.744627773761749,0.465752422809601,0.998380839824676,0.998229503631592,0.80599254,-0.04501588,0.99923915,0.99897856,0.8952554,-0.050579052,0.99839187,0.99824613,0.9430163,0.911384,0.99959457,0.9993948,0.99606997,0.9938302,-0.038211115,0.99992263,0.9985601,0.99786973,-0.03727225,0.99994653,-0.0046270024
317,317,317,317,239,239,ভাল,মুঠো,bʰal,muʈʰo,Good,Fist,1,0.75,0.369791666666667,0.395833333333333,4.25,0.395833333333333,4,Bengali,Bengali,random,0,-4.6215076,0.874323904514313,0.694041728973389,0.438186585903168,0.99919593334198,0.998196661472321,0.7545446,-0.027823761,0.9993873,0.9988357,0.87469184,-0.028535683,0.99919736,0.9982038,0.9255988,0.86353034,0.99958885,0.9991505,0.9977972,0.99549955,-0.03678819,0.99994326,0.9987787,0.9980063,-0.037126116,0.99993765,-0.021401498
318,318,318,318,354,354,সকলো,বেবাক,xɔkɔlʊ,bebak,everything,Bebak,1,0.666666666666667,0.326388888888889,0.347222222222222,3.60416666666667,0.340277777777778,5,Bengali,Bengali,synonym,0,-12.784882,0.881013035774231,0.753173768520355,0.456437289714813,0.997070550918579,0.997831165790558,0.8184539,-0.030238252,0.99740446,0.99936026,0.8816378,-0.031708673,0.99705535,0.9978532,0.91504204,0.8434163,0.9991742,0.99916023,0.996533,0.98849434,-0.03681708,0.99995464,0.9984474,0.9977844,-0.036824547,0.9999416,0.0034922557
322,322,322,322,60,60,কল,কেন,kɔlɔ,ken̪,Call,Why,0.75,0.5,0.296875,0.322916666666667,2.6875,0.322916666666667,2,Bengali,Bengali,synonym,0,-3.515554,0.915825247764587,0.804213106632233,0.490974068641663,0.99945330619812,0.999299943447113,0.8546694,-0.045475096,0.9994708,0.9995536,0.91611665,-0.046968076,0.99945354,0.99930346,0.94413674,0.90542674,0.99971384,0.99970293,0.99793005,0.9954661,-0.038939714,0.9999451,0.99883926,0.9983598,-0.03752931,0.9999317,0.06192673
323,323,323,323,19,19,আছে,অগ্নি,asɛ,oɡn̪i,There is,Fire,1,0.5,0.328125,0.354166666666667,3.21875,0.354166666666667,5,Bengali,Bengali,random,0,-6.1541147,0.871742606163025,0.503436625003815,0.478435426950455,0.999710440635681,0.999460279941559,0.55406487,-0.033855446,0.99970543,0.9995587,0.87191164,-0.033292577,0.9997112,0.99946225,0.93200946,0.7036233,0.99981546,0.9996544,0.99773103,0.9955643,-0.036663875,0.9999545,0.9987992,0.99844414,-0.03739024,0.99991894,-0.021319851
324,324,324,324,69,69,কি,ক্যা,ki,kæ,What?,Kya,0.5,0,0.041666666666667,0.041666666666667,0.5,0.041666666666667,3,Bengali,Bengali,loan,1,2.117496,0.908225476741791,0.570267796516418,0.49332258105278,0.99861615896225,0.998610198497772,0.71505386,-0.052907765,0.9992875,0.9992696,0.90920246,-0.055984043,0.99858755,0.99864364,0.961728,0.82803917,0.9996939,0.99957013,0.99686706,0.9893912,-0.036812317,0.99995685,0.99880683,0.99821585,-0.03745823,0.99993885,-7.687649E-05
325,325,325,325,332,332,সাঁচা,হকীকৎ,xãsa,ɦɔkikɔt̪ɔ,True,Really,1,0.625,0.5,0.552083333333333,4.3125,0.552083333333333,5,Bengali,Bengali,synonym,0,-24.928581,0.816734552383423,0.534176349639893,0.46443435549736,0.999204158782959,0.998961687088013,0.6867047,-0.03235053,0.99920607,0.999,0.8168745,-0.027049161,0.99920034,0.9989594,0.8986136,0.74483633,0.99968845,0.9990185,0.9966409,0.9946637,-0.036080968,0.99995655,0.9983293,0.9979272,-0.036680453,0.99993205,0.13214915
327,327,327,327,61,61,কুকুৰ,মাক্‌খি,kukuɹ,mak‌kʰi,dog,Makkhi,0.714285714285714,0.6,0.220833333333333,0.241666666666667,4.025,0.220833333333333,6,Bengali,Bengali,random,0,-10.461243,0.882074534893036,0.69285660982132,0.482573091983795,0.997898399829864,0.99842494726181,0.7370249,-0.029103052,0.9986194,0.9989993,0.8824725,-0.029132452,0.9979135,0.9984333,0.915583,0.78434336,0.99964345,0.9991953,0.99486065,0.9904611,-0.03656001,0.99994856,0.9979387,0.9975296,-0.036565863,0.99990433,-0.020732906
328,328,328,328,326,326,সাঁচা,সত্য,xãsa,ʃɔt̪d͡zɔ,True,True,1,0.6,0.304166666666667,0.325,2.825,0.320833333333333,4,Bengali,Bengali,synonym,0,-10.284519,0.813933312892914,0.663522183895111,0.540870368480682,0.999278247356415,0.9988694190979,0.72030914,-0.030618936,0.99934936,0.9991095,0.8137101,-0.03571689,0.999278,0.99887216,0.90985847,0.7760392,0.9996873,0.99931234,0.9971197,0.99494654,-0.03655514,0.9999537,0.9983877,0.9982804,-0.037192777,0.9999099,0.1332879
329,329,329,329,110,110,চান,বুড়,san,buɽ,Want,Old man,1,0.666666666666667,0.201388888888889,0.236111111111111,2.625,0.201388888888889,4,Bengali,Bengali,synonym,0,-14.4071045,0.836924850940704,0.619616329669952,0.474973171949387,0.999348104000092,0.998508453369141,0.65951324,-0.038434744,0.99959564,0.9989769,0.83738863,-0.036695056,0.99935067,0.9985177,0.8961825,0.7918421,0.99963367,0.99946,0.99793375,0.9938459,-0.037114467,0.9999591,0.9987603,0.9979876,-0.037263107,0.9999429,0.13122103
330,330,330,330,229,229,ব্যাকৰণ,চলা,biakɔɹɔnɔ,t͡ɕɔla,Grammar,To walk,0.888888888888889,0.555555555555556,0.548611111111111,0.606481481481481,4.625,0.604166666666667,6,Bengali,Bengali,random,0,-12.656702,0.902578592300415,0.662866652011871,0.505923449993134,0.99833071231842,0.999314725399017,0.7905973,-0.04271731,0.9985719,0.99956226,0.90273476,-0.041462764,0.9983579,0.99932563,0.90858126,0.7772757,0.9982091,0.9997078,0.9959438,0.9932463,-0.037685893,0.999931,0.9989306,0.9984986,-0.037601635,0.99991775,-0.0073937047
331,331,331,331,153,153,দুৱাৰ,ঔষধ,duwaɹ,owʃɔd̪ʱɔ,The door,Medicine,1,0.666666666666667,0.336805555555555,0.388888888888889,4.66666666666667,0.350694444444444,5,Bengali,Bengali,random,0,-13.172163,0.722334861755371,0.584658920764923,0.579152524471283,0.995071351528168,0.999483048915863,0.6355957,-0.03653329,0.9955887,0.99956995,0.7232636,-0.03919403,0.9951413,0.9994859,0.77101856,0.66614926,0.9972719,0.999613,0.9902436,0.9781569,-0.03732136,0.99979407,0.9988893,0.9984044,-0.037656326,0.999931,-0.020432722
334,334,334,334,203,203,বা,বা,ba,ba,Or,Or,0,0,0,0,0,0,0,Bengali,Bengali,loan,1,-3.2885084,0.999999701976776,1,0.373198330402374,0.999342978000641,0.999953329563141,0.99382174,-0.042839643,0.99947333,0.999935,0.99999905,-0.04223972,0.9993443,0.9999536,0.9656111,0.92933667,0.9991173,0.99986285,0.99414533,0.99154437,-0.038036972,0.999924,0.9986498,0.998256,-0.037121788,0.99992126,0.06547038
335,335,335,335,288,288,ৰাষ্ট্ৰ,রাষ্ট্র,ɹaxtɹɔ,raʃʈrɔ,The State,State,0.666666666666667,0.166666666666667,0.086805555555556,0.118055555555556,1.52083333333333,0.086805555555556,2,Bengali,Bengali,loan,1,5.235061,0.616333246231079,0.776870846748352,0.459564238786697,0.999420702457428,0.999569177627564,0.77675986,-0.03508681,0.99945927,0.99956477,0.61909986,-0.035343632,0.99942267,0.99957204,0.71310896,0.7479154,0.9990207,0.9996678,0.99647754,0.99548864,-0.03644391,0.99994373,0.99862605,0.9982711,-0.037261613,0.9999269,-0.004482032
336,336,336,336,276,276,যুদ্ধ,যুদ্ধ,zuddʰɔ,d͡zud̪d̪ʱɔ,War,War,0.5,0.2,0.041666666666667,0.041666666666667,0.45,0.041666666666667,0,Bengali,Bengali,loan,1,5.415281,0.999999701976776,0.999999821186066,0.411351948976517,0.99989128112793,0.999954044818878,0.9936962,-0.040130176,0.9998286,0.9999222,0.999964,-0.038735323,0.99989176,0.9999528,0.9715736,0.9617895,0.9994809,0.99985105,0.9970638,0.9962555,-0.036532417,0.9999537,0.99878097,0.9983469,-0.037357416,0.9999229,-0.008430805
337,337,337,337,141,141,তেল,তেল,tɛl,t̪elɔ,Oil,Oil,0.6,0.25,0.244791666666667,0.270833333333333,1.9375,0.270833333333333,0,Bengali,Bengali,loan,1,4.1968517,0.99999988079071,1,0.50982540845871,0.999746739864349,0.999900996685028,0.979052,-0.04337242,0.9997008,0.9998801,0.9999958,-0.04454367,0.99974954,0.9999023,0.982184,0.96008253,0.9993685,0.99952435,0.9986849,0.99804485,-0.03709627,0.9999619,0.99887884,0.99851453,-0.037540734,0.9999206,0.15332429
339,339,339,339,180,180,পিতা,পিতা,pita,pit̪a,Father,Father,0.2,0,0.010416666666667,0.010416666666667,0.0625,0.010416666666667,0,Bengali,Bengali,loan,1,2.4309125,0.999999821186066,1,0.422941327095032,0.999962627887726,0.999776721000671,0.9936766,-0.032124452,0.9999509,0.9997957,0.9999975,-0.03158856,0.99996245,0.9997765,0.9681756,0.93945986,0.99993765,0.99982744,0.9971832,0.9959712,-0.037002288,0.9999551,0.9989284,0.9984339,-0.037474837,0.99992424,-0.036316287
341,341,341,341,244,244,মাকৈ,মাহই,makɔɪ,maɦi,corn,Mahi,0.6,0.4,0.229166666666667,0.25,2.35,0.25,2,Bengali,Bengali,loan,1,-10.578133,0.928374469280243,0.799578428268433,0.437116086483002,0.995229065418243,0.998967528343201,0.88171506,-0.043787353,0.99897325,0.99916726,0.9285781,-0.03739478,0.99525577,0.9989743,0.9557921,0.89263624,0.99847734,0.99943286,0.99455166,0.9874473,-0.037140556,0.9998734,0.9983125,0.9980237,-0.03698484,0.9999172,0.06623615
344,344,344,344,57,57,কাঠ,উপন্যাস,katʰ,upn̪æʃ,Wood,Novel,1,0.6,0.429166666666667,0.466666666666667,3.7,0.466666666666667,6,Bengali,Bengali,random,0,-13.104326,0.694354236125946,0.527182042598724,0.351672381162643,0.998938202857971,0.999233603477478,0.54643327,-0.011554176,0.9989929,0.9992351,0.69706637,-0.013216717,0.99895144,0.99923325,0.77397466,0.7346257,0.9994651,0.99932426,0.99773824,0.99678767,-0.036411878,0.999961,0.99873453,0.9983233,-0.03735508,0.99993026,-0.021942051
345,345,345,345,290,290,লাউ,লাউ,lau,lau,Lau,Lau,0,0,0,0,0,0,0,Bengali,Bengali,loan,1,3.1423116,0.999999344348908,1,0.483432352542877,0.997101545333862,0.999928832054138,0.9951186,-0.043282554,0.9974155,0.999915,0.9999973,-0.042358622,0.9971007,0.9999289,0.9932353,0.9819516,0.99851537,0.9997622,0.9963703,0.9922483,-0.03956069,0.9999091,0.998908,0.9984967,-0.03760063,0.9999229,0.053499643
346,346,346,346,174,174,পাখি,গম,pakʰi,ɡɔmɔ,Birds,Wheat,1,0.5,0.21875,0.21875,2.6875,0.21875,4,Bengali,Bengali,random,0,-13.2331295,0.681442439556122,0.810468673706055,0.460548341274262,0.999477505683899,0.999167501926422,0.84688634,-0.037094187,0.99956656,0.9993207,0.68208945,-0.036666017,0.99947643,0.9991638,0.8986639,0.89301646,0.9989832,0.9992447,0.9986292,0.996346,-0.03798566,0.9999521,0.9988677,0.99845,-0.037585337,0.9999069,0.02197333
347,347,347,347,236,236,মৈহ,মহিষ,mɔɪɦ,mɔɦiʃ,Maih,The buffalo,0.6,0.4,0.216666666666667,0.241666666666667,2.075,0.2375,3,Bengali,Bengali,synonym,0,-6.537263,0.93268483877182,0.695908546447754,0.496288150548935,0.99463427066803,0.995629549026489,0.78013414,-0.035117783,0.996063,0.9964819,0.9327409,-0.037016295,0.9946594,0.9956328,0.9558545,0.8945805,0.99903667,0.9990703,0.99443114,0.981888,-0.037929967,0.9996321,0.9978279,0.99663824,-0.036243428,0.9998747,0.02891408
349,349,349,349,66,66,কোটি,কোটি,kʊti,koʈi,Crores,Crores,0.5,0,0.03125,0.03125,0.3125,0.03125,0,Bengali,Bengali,loan,1,2.3663116,1,1,0.415877729654312,0.999769687652588,0.999953806400299,0.9404758,-0.037200253,0.9997854,0.99984723,0.99999356,-0.037507985,0.9997727,0.9999541,0.9693732,0.92011416,0.9998355,0.9998273,0.9989525,0.99755394,-0.03763548,0.99995536,0.998899,0.9985317,-0.037602734,0.999922,0.0060657635
350,350,350,350,155,155,ধনিয়া,ধনিয়া,dʰɔnija,d̪ʱɔn̪ie̯a,Coriander,Coriander,0.5,0,0.034722222222222,0.041666666666667,0.270833333333333,0.034722222222222,0,Bengali,Bengali,loan,1,-10.682543,0.99999988079071,0.999998390674591,0.576118588447571,0.999723494052887,0.999214649200439,0.9724207,-0.03484524,0.99972105,0.9993965,0.9999891,-0.041898936,0.9997233,0.9992294,0.9820999,0.9503433,0.9998129,0.99963856,0.9966879,0.99384916,-0.036906596,0.99994737,0.9983122,0.9979089,-0.036845736,0.99991626,0.02342261
351,351,351,351,168,168,নিয়ৰ,নীহারিকা,nijɔɹɔ,n̪iɦarika,Snow,Nebula,0.777777777777778,0.25,0.302083333333333,0.338541666666667,3.03125,0.328125,7,Bengali,Bengali,loan,1,8.464771,0.911892652511597,0.614165782928467,0.450746119022369,0.994957447052002,0.996233642101288,0.6879837,-0.03362514,0.998641,0.99882615,0.9119912,-0.031936448,0.99505466,0.9962669,0.918126,0.7622245,0.9993038,0.99932384,0.99398774,0.98213047,-0.03660899,0.99986136,0.99795866,0.9972199,-0.03609831,0.9999443,0.036862038
353,353,353,353,267,267,মুঠ,একতা,mutʰ,ekt̪a,total,Unity,0.8,0.75,0.390625,0.4375,5.6875,0.416666666666667,4,Bengali,Bengali,random,0,-8.480056,0.878201723098755,0.697647511959076,0.380964577198029,0.999380171298981,0.999705076217651,0.7812799,-0.034241766,0.99955654,0.99966097,0.87775874,-0.022628944,0.99938536,0.9997073,0.92803633,0.86178154,0.9996575,0.99973834,0.9988488,0.99722534,-0.037390262,0.9999584,0.9987678,0.99846673,-0.03756886,0.9999185,0.077781744
355,355,355,355,50,50,কুকুৰা,কুক্কুট,kukuɹa,kukkuʈɔ,chicken,Chicken,0.428571428571429,0.285714285714286,0.199404761904762,0.214285714285714,2.32142857142857,0.214285714285714,4,Bengali,Bengali,synonym,0,-17.30754,0.875643670558929,0.78545218706131,0.477353811264038,0.999765157699585,0.997447371482849,0.8571859,-0.03207399,0.99973035,0.99813926,0.8765766,-0.035082318,0.99976796,0.99746567,0.88537127,0.8701059,0.9996505,0.999396,0.99753284,0.99592793,-0.036323253,0.99995995,0.9981973,0.99688995,-0.036689393,0.9999555,0.0191456
357,357,357,357,191,191,পোৱালী,পোলা,pʊwali,pola,The puppy,Pola,0.666666666666667,0.333333333333333,0.326388888888889,0.361111111111111,2.70833333333333,0.361111111111111,3,Bengali,Bengali,loan,1,4.6648674,0.848093271255493,0.782345294952393,0.443150848150253,0.999190926551819,0.998805403709412,0.7827516,-0.023645,0.9993044,0.9987844,0.84867823,-0.024915626,0.99919635,0.99880815,0.8773687,0.8373281,0.99913085,0.9991924,0.9967166,0.9933724,-0.03688523,0.9999293,0.9981956,0.9978201,-0.036945913,0.9999021,0.025953945
358,358,358,358,18,18,আকাশ,আকাশ,akax,akaʃ,The sky,The sky,0.25,0.25,0.036458333333333,0.041666666666667,0.40625,0.036458333333333,0,Bengali,Bengali,loan,1,4.09337,0.99999988079071,1,0.407161355018616,0.99981278181076,0.999946653842926,0.9481781,-0.024493087,0.9998229,0.9998584,0.9999918,-0.020914108,0.9998139,0.99994713,0.9876871,0.95524824,0.9998719,0.9998758,0.99908704,0.9977621,-0.037826635,0.99995446,0.9988695,0.998442,-0.037476115,0.9999249,0.023736192
359,359,359,359,194,194,ফণী,মাছ,pʰɔni,mat͡ɕʰ,comb,Fish,1,0.75,0.390625,0.416666666666667,4.1875,0.416666666666667,3,Bengali,Bengali,random,0,-7.9824643,0.810540854930878,0.579221904277802,0.493264615535736,0.999745488166809,0.999650001525879,0.6131589,-0.030394282,0.99945647,0.9996803,0.81103337,-0.030526528,0.9997456,0.9996507,0.8797384,0.73991483,0.9997587,0.999692,0.9970024,0.9961587,-0.036618583,0.9999387,0.9989162,0.99849445,-0.037584115,0.9999236,0.00025708973
361,361,361,361,184,184,পুৰুষ,পুরুষ,puɹux,puruʃ,male,Men,0.4,0.2,0.0625,0.083333333333333,1.025,0.0625,1,Bengali,Bengali,loan,1,5.9069376,0.763745963573456,0.674932718276978,0.541288375854492,0.999922394752502,0.999462008476257,0.7260995,-0.048679687,0.999928,0.9994689,0.7645664,-0.04801851,0.99992186,0.99947107,0.8017819,0.74587643,0.9998758,0.9995665,0.9966499,0.9953821,-0.037346654,0.99995404,0.9987185,0.9982517,-0.037303723,0.9999325,-0.005443024
362,362,362,362,288,288,লাউ,রচনা,lau,rɔt͡ɕɔn̪a,Lau,Composition,1,0.5,0.524305555555556,0.583333333333333,4.375,0.569444444444444,4,Bengali,Bengali,random,0,-8.447704,0.681935369968414,0.468412607908249,0.308293968439102,0.997624099254608,0.999400556087494,0.5541899,-0.022212382,0.9973849,0.99952286,0.6820342,-0.019071665,0.99762887,0.999399,0.77954006,0.6027063,0.99815905,0.99947643,0.99533665,0.99057114,-0.037403677,0.99991083,0.9987673,0.99828684,-0.03730058,0.99993443,0.05684437
363,363,363,363,75,75,গিলা,রউন,gila,run̪,Swallow,Rune,1,0.666666666666667,0.326388888888889,0.416666666666667,6.08333333333333,0.326388888888889,4,Bengali,Bengali,random,0,-10.968345,0.796530961990356,0.702219665050507,0.516530632972717,0.998316764831543,0.998405694961548,0.73879147,-0.041095845,0.99866474,0.9985601,0.7970631,-0.04076007,0.9983268,0.99840933,0.8989289,0.83804417,0.99909604,0.9992304,0.9929893,0.988328,-0.03658607,0.9998943,0.99832284,0.9980644,-0.037106365,0.99991107,0.099104986
364,364,364,364,269,269,মূত,ডিম,mut,ɖim,Urine,Eggs,1,0.666666666666667,0.194444444444444,0.208333333333333,3.16666666666667,0.194444444444444,3,Bengali,Bengali,random,0,-11.522158,0.882266342639923,0.689866065979004,0.541069447994232,0.994466960430145,0.997871041297913,0.7583486,-0.040335614,0.9961406,0.99821734,0.882397,-0.04132159,0.99446607,0.9978708,0.9399807,0.83854836,0.99966025,0.99978477,0.9919311,0.983331,-0.037000403,0.9996947,0.99817824,0.99788034,-0.037537433,0.9998631,0.026005838
369,369,369,369,181,181,পিন্ধ,পিন্ধা,pindʰɔ,pin̪d̪ʱa,Wear,wear,0.5,0,0.058333333333333,0.058333333333333,0.5,0.058333333333333,1,Bengali,Bengali,loan,1,4.7644954,0.942158937454224,0.855364501476288,0.437378942966461,0.998173952102661,0.998508453369141,0.9138925,-0.029783357,0.9991898,0.9992833,0.9425079,-0.030031458,0.99818796,0.99851555,0.97978413,0.9747838,0.9995887,0.9996442,0.9939852,0.9880533,-0.036121063,0.99984276,0.9982733,0.9977673,-0.03686791,0.9998998,0.017057758
373,373,373,373,336,336,সাঁচা,বাস্তব,xãsa,baʃt̪ɔbɔ,True,Real,1,0.714285714285714,0.464285714285714,0.505952380952381,4,0.505952380952381,5,Bengali,Bengali,synonym,0,-14.167259,0.760361552238464,0.595844328403473,0.365174353122711,0.998538374900818,0.998802781105042,0.6573993,-0.021901716,0.9988574,0.9988036,0.7604272,-0.021587608,0.9985322,0.9988034,0.8651714,0.75749403,0.99943066,0.99917513,0.9961642,0.99241525,-0.03752815,0.9999199,0.9983586,0.998277,-0.03746846,0.999895,0.13165934
375,375,375,375,271,271,মৃত্যু,ইন্তেকাল,mɽitzu,in̪t̪ekalɔ,Death,Death,0.9,0.75,0.328125,0.369791666666667,3.375,0.354166666666667,7,Bengali,Bengali,synonym,0,-18.995558,0.868552088737488,0.615337729454041,0.408525705337524,0.99942809343338,0.998943150043488,0.6947453,-0.034643974,0.9996984,0.99944055,0.869642,-0.030565785,0.99943614,0.99896175,0.9089992,0.7691519,0.99931455,0.999371,0.99766964,0.99511814,-0.036865707,0.9999481,0.99867296,0.9982782,-0.037211854,0.9999193,-0.048398882
377,377,377,377,67,67,কোদাল,কোদাল,kʊdal,kod̪alɔ,Spade,Spade,0.428571428571429,0.166666666666667,0.170138888888889,0.1875,1.375,0.1875,0,Bengali,Bengali,loan,1,-5.920434,0.99999988079071,1,0.421575427055359,0.999709725379944,0.999397397041321,0.96842957,-0.034542765,0.99982655,0.99955213,0.9999833,-0.036917664,0.99970675,0.99940294,0.97288394,0.92688847,0.99953556,0.9997196,0.99868715,0.99788177,-0.036898416,0.9999637,0.9985125,0.99823767,-0.03711995,0.999915,0.051540293
379,379,379,379,239,239,ভাত,অন্ন,bʰat,on̪n̪ɔ,Rice,Food,1,1,0.4375,0.489583333333333,6.5625,0.463541666666667,4,Bengali,Bengali,synonym,0,-9.633324,0.853323817253113,0.654214680194855,0.517905950546265,0.998741388320923,0.9989173412323,0.76784676,-0.047602043,0.9988504,0.999164,0.8547742,-0.045491405,0.9987738,0.99893457,0.9410354,0.8593422,0.99938273,0.9997122,0.9975772,0.9924451,-0.03693112,0.99993527,0.99865067,0.99800056,-0.037251703,0.99994195,0.05111064
381,381,381,381,317,317,সহা,ভারত,xɔɦa,bʱarɔt̪ɔ,Saha,India,0.875,0.5,0.395833333333333,0.444444444444444,3.89583333333333,0.440972222222222,4,Bengali,Bengali,random,0,-14.439566,0.609548926353455,0.695140302181244,0.477118819952011,0.995611548423767,0.998169004917145,0.7277732,-0.04159047,0.99655473,0.9985509,0.611558,-0.04216685,0.99560606,0.9981677,0.6963916,0.83339155,0.9993327,0.99950427,0.990836,0.98280597,-0.037905533,0.99968946,0.998113,0.9978764,-0.037326552,0.99987924,0.069582805
383,383,383,383,196,196,ফুল,ফুল,pʰul,ɸulɔ,Flowers,Flowers,0.75,0.25,0.25,0.28125,2.15625,0.276041666666667,0,Bengali,Bengali,loan,1,4.599524,0.99999988079071,1,0.441077709197998,0.999855399131775,0.999884307384491,0.9845606,-0.032208167,0.99981475,0.9997957,0.99999744,-0.031464383,0.99985576,0.9998839,0.9684386,0.9553213,0.9998565,0.9998938,0.9990027,0.9979186,-0.03718734,0.99995875,0.9989508,0.9984643,-0.037609994,0.9999231,0.053389613
