word,ipas
ख़ुशआमदीद,"['/kʰʊ.ʃə.ɑːm.d̪iːd̪/', '[kʰʊ.ʃə.ä̃ːm.d̪iːd̪]', '/xʊ.ʃə.ɑːm.d̪iːd̪/', '[xʊ.ʃə.ä̃ːm.d̪iːd̪]']"
ख़ुशक़िस्मत,"['/kʰʊʃ.kɪs.mət̪/', '[kʰʊʃ.kɪs̪.mət̪]', '/xʊʃ.qɪs.mət̪/', '[xʊʃ.qɪs̪.mət̪]']"
ख़ुशनवीसी,"['/kʰʊʃ.nə.ʋiː.siː/', '[kʰʊʃ.n̪ə.ʋiː.s̪iː]', '/xʊʃ.nə.ʋiː.siː/', '[xʊʃ.n̪ə.ʋiː.s̪iː]']"
ख़ुशबू,"['/kʰʊʃ.buː/', '/xʊʃ.buː/']"
ख़ुशहाल,"['/kʰʊʃ.ɦɑːl/', '[kʰʊʃ.ɦäːl̪]', '/xʊʃ.ɦɑːl/', '[xʊʃ.ɦäːl̪]']"
ख़ुशहाली,"['/kʰʊʃ.ɦɑː.liː/', '[kʰʊʃ.ɦäː.l̪iː]', '/xʊʃ.ɦɑː.liː/', '[xʊʃ.ɦäː.l̪iː]']"
ख़ुशामद,"['/kʰʊ.ʃɑː.məd̪/', '[kʰʊ.ʃäː.məd̪]', '/xʊ.ʃɑː.məd̪/', '[xʊ.ʃäː.məd̪]']"
ख़ुशी,"['/kʰʊ.ʃiː/', '/xʊ.ʃiː/']"
ख़ूँख़ार,"['/kʰũː.kʰɑːɾ/', '[kʰũː.kʰäːɾ]', '/xũː.xɑːɾ/', '[xũː.xäːɾ]']"
ख़ून,"['/kʰuːn/', '[kʰũːn̪]', '/xuːn/', '[xũːn̪]']"
ख़ूब,[]
ख़ूबसूरत,"['/kʰuːb.suː.ɾət̪/', '[kʰuːb.s̪uː.ɾət̪]', '/xuːb.suː.ɾət̪/', '[xuːb.s̪uː.ɾət̪]']"
ख़ूबानी,"['/kʰuː.bɑː.niː/', '[kʰuː.bäː.n̪iː]', '/xuː.bɑː.niː/', '[xuː.bäː.n̪iː]']"
ख़ूबी,"['/kʰuː.biː/', '/xuː.biː/']"
ख़ैर,"['/kʰɛːɾ/', '/xɛːɾ/']"
ख़ैरात,"['/kʰɛː.ɾɑːt̪/', '[kʰɛː.ɾäːt̪]', '/xɛː.ɾɑːt̪/', '[xɛː.ɾäːt̪]']"
ख़ैरियत,"['/kʰɛː.ɾɪ.jət̪/', '[kʰɛː.ɾi.jət̪]', '/xɛː.ɾɪ.jət̪/', '[xɛː.ɾi.jət̪]']"
ख़ौफ़,"['/kʰɔːpʰ/', '/xɔːf/']"
ख़्वाजा,"['/kʰʋɑː.d͡ʒɑː/', '[kʰʋäː.d͡ʒäː]', '/xʋɑː.d͡ʒɑː/', '[xʋäː.d͡ʒäː]']"
ख़्वाब,"['/kʰʋɑːb/', '[kʰʋäːb]', '/xʋɑːb/', '[xʋäːb]']"
ख़्वाबगाह,"['/kʰʋɑːb.ɡɑːɦ/', '[kʰʋäːb.ɡäːɦ]', '/xʋɑːb.ɡɑːɦ/', '[xʋäːb.ɡäːɦ]']"
ख़्वाहिश,"['/kʰɑː.ɦɪʃ/', '[kʰäː.ɦɪʃ]', '/xɑː.ɦɪʃ/', '[xäː.ɦɪʃ]', '/kʰʋɑː.ɦɪʃ/', '[kʰʋäː.ɦɪʃ]', '/xʋɑː.ɦɪʃ/', '[xʋäː.ɦɪʃ]']"
खीसा,"['/kʰiː.sɑː/', '[kʰiː.s̪äː]']"
गंदगी,"['/ɡən.d̪ə.ɡiː/', '[ɡə̃n̪.d̪ə.ɡiː]']"
गंदा,"['/ɡən.d̪ɑː/', '[ɡə̃n̪.d̪äː]']"
गज़,"['/ɡəd͡ʒ/', '/ɡəz/']"
गज़र,"['/ɡə.d͡ʒəɾ/', '/ɡə.zəɾ/']"
गरेबान,"['/ɡə.ɾeː.bɑːn/', '[ɡə.ɾeː.bä̃ːn̪]']"
गर्द,['/ɡəɾd̪/']
गर्दन,"['/ɡəɾ.d̪ən/', '[ɡəɾ.d̪ə̃n̪]']"
गर्दिश,['/ɡəɾ.d̪ɪʃ/']
-गर्दी,['/ɡəɾ.d̪iː/']
गर्म,"['/ɡə.ɾəm/', '[ɡə.ɾə̃m]', '/ɡəɾm/']"
गर्मी,['[ɡʌrmi]']
गवाह,"['/ɡə.ʋɑːɦ/', '[ɡə.ʋäːɦ]']"
गवाही,"['/ɡə.ʋɑː.ɦiː/', '[ɡə.ʋäː.ɦiː]']"
गश्त,['/ɡəʃt̪/']
ग़ज़ब,"['/ɡə.d͡ʒəb/', '/ɣə.zəb/']"
ग़ज़ल,"['/ɡə.d͡ʒəl/', '[ɡə.d͡ʒəl̪]', '/ɣə.zəl/', '[ɣə.zəl̪]']"
ग़ज़ा,[]
ग़द्दार,"['/ɡəd̪.d̪ɑːɾ/', '[ɡəd̪̚.d̪äːɾ]', '/ɣəd̪.d̪ɑːɾ/', '[ɣəd̪̚.d̪äːɾ]']"
ग़म,"['/ɡəm/', '[ɡə̃m]', '/ɣəm/', '[ɣə̃m]']"
ग़रारा,"['/ɡə.ɾɑː.ɾɑː/', '[ɡə.ɾäː.ɾäː]', '/ɣə.ɾɑː.ɾɑː/', '[ɣə.ɾäː.ɾäː]']"
ग़रीबी,"['/ɡə.ɾiː.biː/', '/ɣə.ɾiː.biː/']"
ग़लत,"['/ɡə.lət̪/', '[ɡə.l̪ət̪]', '/ɣə.lət̪/', '[ɣə.l̪ət̪]']"
ग़लती,"['/ɡəl.t̪iː/', '[ɡəl̪.t̪iː]', '/ɣəl.t̪iː/', '[ɣəl̪.t̪iː]']"
ग़ुलाम,[]
ग़ुस्सा,"['/ɡʊs.sɑː/', '[ɡʊs̪.s̪äː]', '/ɣʊs.sɑː/', '[ɣʊs̪.s̪äː]']"
ग़ैर,"['/ɡɛːɾ/', '/ɣɛːɾ/']"
ग़ैर-,"['/ɡɛːɾ/', '/ɣɛːɾ/']"
ग़ोता,"['/ɡoː.t̪ɑː/', '[ɡoː.t̪äː]', '/ɣoː.t̪ɑː/', '[ɣoː.t̪äː]']"
गिरफ़्त,"['/ɡɪ.ɾəpʰt̪/', '/ɡɪ.ɾəft̪/']"
गिरफ़्तार,"['/ɡɪ.ɾəpʰ.t̪ɑːɾ/', '[ɡɪ.ɾəpʰ.t̪äːɾ]', '/ɡɪ.ɾəf.t̪ɑːɾ/', '[ɡɪ.ɾəf.t̪äːɾ]']"
गिरफ़्तारी,"['/ɡɪ.ɾəpʰ.t̪ɑː.ɾiː/', '[ɡɪ.ɾəpʰ.t̪äː.ɾiː]', '/ɡɪ.ɾəf.t̪ɑː.ɾiː/', '[ɡɪ.ɾəf.t̪äː.ɾiː]']"
गिरह,['/ɡɪ.ɾəɦ/']
-गिरी,[]
गिरोह,['/ɡɪ.ɾoːɦ/']
गिलहरी,"['/ɡɪ.ləɦ.ɾiː/', '[ɡɪ.l̪ɛɦ.ɾiː]']"
गिलास,"['/ɡɪ.lɑːs/', '[ɡɪ.l̪äːs̪]']"
गिलीम,[]
गुंजाइश,"['/ɡʊn.d͡ʒɑː.ɪʃ/', '[ɡʊ̃n̪.d͡ʒäː.ɪʃ]']"
गुज़र,[]
गुज़श्ता,"['/ɡʊ.d͡ʒəʃ.t̪ɑː/', '[ɡʊ.d͡ʒəʃ.t̪äː]', '/ɡʊ.zəʃ.t̪ɑː/', '[ɡʊ.zəʃ.t̪äː]']"
गुज़ारा,[]
गुज़ारिश,[]
गुनाह,"['/ɡʊ.nɑːɦ/', '[ɡʊ.n̪äːɦ]']"
गुफ़्तगू,"['/ɡʊpʰ.t̪ə.ɡuː/', '/ɡʊf.t̪ə.ɡuː/', '/ɡʊpʰt̪.ɡuː/', '/ɡʊft̪.ɡuː/']"
गुफ़्तार,"['/ɡʊpʰ.t̪ɑːɾ/', '[ɡʊpʰ.t̪äːɾ]', '/ɡʊf.t̪ɑːɾ/', '[ɡʊf.t̪äːɾ]']"
गुम,"['/ɡʊm/', '[ɡʊ̃m]']"
गुमनाम,"['/ɡʊm.nɑːm/', '[ɡʊ̃m.n̪ä̃ːm]']"
गुमशुदा,"['/ɡʊm.ʃʊ.d̪ɑː/', '[ɡʊ̃m.ʃʊ.d̪äː]']"
गुर्जिस्तान,"['/ɡʊɾ.d͡ʒɪs.t̪ɑːn/', '[ɡʊɾ.d͡ʒɪs̪.t̪ä̃ːn̪]']"
गुलज़ार,"['/ɡʊl.d͡ʒɑːɾ/', '[ɡʊl̪.d͡ʒäːɾ]', '/ɡʊl.zɑːɾ/', '[ɡʊl̪.zäːɾ]']"
गुलदान,"['/ɡʊl.d̪ɑːn/', '[ɡʊl̪.d̪ä̃ːn̪]']"
गुलशन,"['/ɡʊl.ʃən/', '[ɡʊl̪.ʃə̃n̪]']"
गुलाब,"['/ɡʊ.lɑːb/', '[ɡʊ.l̪äːb]', '/ɡu.lab/']"
गुलूबंद,"['/ɡʊ.luː.bənd̪/', '[ɡʊ.l̪uː.bə̃n̪d̪]']"
गुस्ताख़,"['/ɡʊs.t̪ɑːkʰ/', '[ɡʊs̪.t̪äːkʰ]', '/ɡʊs.t̪ɑːx/', '[ɡʊs̪.t̪äːx]']"
गुस्ताख़ी,"['/ɡʊs.t̪ɑː.kʰiː/', '[ɡʊs̪.t̪äː.kʰiː]', '/ɡʊs.t̪ɑː.xiː/', '[ɡʊs̪.t̪äː.xiː]']"
गूंगा,"['/ɡuːŋ.ɡɑː/', '[ɡũːŋ.ɡäː]']"
गोर,[]
गोरखर,[]
गोरिस्तान,[]
गोश्त,['/ɡoːʃt̪/']
चमचा,"['/t͡ʃəm.t͡ʃɑː/', '[t͡ʃə̃m.t͡ʃäː]', '/t͡səm.t͡sa/', '/t͡ɕəm.t͡ɕa/']"
चम्मच,[]
चरख़ा,"['/t͡ʃəɾ.kʰɑː/', '[t͡ʃəɾ.kʰäː]', '/t͡ʃəɾ.xɑː/', '[t͡ʃəɾ.xäː]']"
चरबी,['/t͡ʃəɾ.biː/']
चराग़,[]
चरागाह,"['/t͡ʃə.ɾɑː.ɡɑːɦ/', '[t͡ʃə.ɾäː.ɡäːɦ]']"
चश्मदीद,['/t͡ʃəʃ.mᵊ.d̪iːd̪/']
चाक़ू,[]
चादर,[]
चाबुक,[]
चाय,"['/t͡ʃɑːj/', '[t͡ʃäːj]']"
चायख़ाना,"['/t͡ʃɑːj.kʰɑː.nɑː/', '[t͡ʃäːj.kʰäː.n̪äː]', '/t͡ʃɑːj.xɑː.nɑː/', '[t͡ʃäːj.xäː.n̪äː]']"
चायदान,"['/t͡ʃɑːj.d̪ɑːn/', '[t͡ʃäːj.d̪ä̃ːn̪]']"
चारदीवारी,[]
चाशनी,"['/t͡ʃɑːʃ.niː/', '[t͡ʃäːʃ.n̪iː]']"
चिराग़,"['/t͡ʃɪ.ɾɑːɡ/', '[t͡ʃɪ.ɾäːɡ]', '/t͡ʃɪ.ɾɑːɣ/', '[t͡ʃɪ.ɾäːɣ]']"
चिलग़ोज़ा,"['/t͡ʃɪl.ɡoː.d͡ʒɑː/', '[t͡ʃɪl̪.ɡoː.d͡ʒäː]', '/t͡ʃɪl.ɣoː.zɑː/', '[t͡ʃɪl̪.ɣoː.zäː]']"
चिलम,"['/t͡ʃɪ.ləm/', '[t͡ʃɪ.l̪ə̃m]']"
चीख़,[]
चीज़,"['/t͡ʃiːd͡ʒ/', '/t͡ʃiːz/']"
चुक़ंदर,"['/t͡ʃʊ.kən.d̪əɾ/', '[t͡ʃʊ.kə̃n̪.d̪əɾ]', '/t͡ʃʊ.qən.d̪əɾ/', '[t͡ʃʊ.qə̃n̪.d̪əɾ]']"
चूज़ा,"['/t͡ʃuː.d͡ʒɑː/', '[t͡ʃuː.d͡ʒäː]', '/t͡ʃuː.zɑː/', '[t͡ʃuː.zäː]']"
चूपान,[]
चेहरा,"['/t͡ʃeːɦ.ɾɑː/', '[t͡ʃeːɦ.ɾäː]']"
चोग़ा,"['/t͡ʃoː.ɡɑː/', '[t͡ʃoː.ɡäː]', '/t͡ʃoː.ɣɑː/', '[t͡ʃoː.ɣäː]']"
जंग,"['/d͡ʒəŋɡ/', '[d͡ʒə̃ŋɡ]']"
जंगजू,"['/d͡ʒəŋ.ɡd͡ʒuː/', '[d͡ʒə̃ŋ.ɡd͡ʒuː]']"
जंगी,"['/d͡ʒəŋ.ɡiː/', '[d͡ʒə̃ŋ.ɡiː]']"
जगह,"['/d͡ʒə.ɡɑː/', '[d͡ʒə.ɡäː]', '/d͡ʒə.ɡəɦ/']"
जज़ा,"['/d͡ʒə.d͡ʒɑː/', '[d͡ʒə.d͡ʒäː]', '/d͡ʒə.zɑː/', '[d͡ʒə.zäː]']"
जज़ीरा,"['/d͡ʒə.d͡ʒiː.ɾɑː/', '[d͡ʒə.d͡ʒiː.ɾäː]', '/d͡ʒə.ziː.ɾɑː/', '[d͡ʒə.ziː.ɾäː]']"
जज़्बा,[]
जदीद,['/d͡ʒə.d̪iːd̪/']
जनाज़ा,"['/d͡ʒə.nɑː.d͡ʒɑː/', '[d͡ʒə.n̪äː.d͡ʒäː]', '/d͡ʒə.nɑː.zɑː/', '[d͡ʒə.n̪äː.zäː]']"
जनाब,"['/d͡ʒə.nɑːb/', '[d͡ʒə.n̪äːb]']"
जन्नत,"['/d͡ʒən.nət̪/', '[d͡ʒə̃n̪.n̪ət̪]']"
जमा,[]
जमात,"['/d͡ʒə.mɑːt̪/', '[d͡ʒə.mäːt̪]']"
जलवा,"['/d͡ʒəl.ʋɑː/', '[d͡ʒəl̪.ʋäː]']"
जलाल,"['/d͡ʒə.lɑːl/', '[d͡ʒə.l̪äːl̪]']"
जलालाबाद,"['/d͡ʒə.lɑːl.ɑː.bɑːd̪/', '[d͡ʒə.l̪äːl̪.äː.bäːd̪]']"
जल्द,"['/d͡ʒəld̪/', '[d͡ʒəl̪d̪]']"
जल्लाद,"['/d͡ʒəl.lɑːd̪/', '[d͡ʒəl̪.l̪äːd̪]']"
जवान,"['/d͡ʒə.ʋɑːn/', '[d͡ʒə.ʋä̃ːn̪]']"
जवानी,"['/d͡ʒə.ʋɑː.niː/', '[d͡ʒə.ʋäː.n̪iː]']"
जवाब,"['/d͡ʒə.ʋɑːb/', '[d͡ʒə.ʋäːb]']"
जशन,"['/d͡ʒə.ʃən/', '[d͡ʒə.ʃə̃n̪]']"
जसूर,"['/d͡ʒə.suːɾ/', '[d͡ʒə.s̪uːɾ]']"
जहाँगीर,"['/d͡ʒə.ɦɑːŋ.ɡiːɾ/', '[d͡ʒə.ɦä̃ːŋ.ɡiːɾ]']"
जहाज़,"['/d͡ʒə.ɦɑːd͡ʒ/', '[d͡ʒə.ɦäːd͡ʒ]', '/d͡ʒə.ɦɑːz/', '[d͡ʒə.ɦäːz]']"
जहान,"['/d͡ʒə.ɦɑːn/', '[d͡ʒə.ɦä̃ːn̪]']"
ज़ंग,"['/d͡ʒəŋɡ/', '[d͡ʒə̃ŋɡ]', '/zəŋɡ/', '[zə̃ŋɡ]']"
ज़ंजीर,"['/d͡ʒən.d͡ʒiːɾ/', '[d͡ʒə̃n̪.d͡ʒiːɾ]', '/zən.d͡ʒiːɾ/', '[zə̃n̪.d͡ʒiːɾ]']"
ज़कात,"['/d͡ʒə.kɑːt̪/', '[d͡ʒə.käːt̪]', '/zə.kɑːt̪/', '[zə.käːt̪]']"
ज़ख़ीरा,"['/d͡ʒə.kʰiː.ɾɑː/', '[d͡ʒə.kʰiː.ɾäː]', '/zə.xiː.ɾɑː/', '[zə.xiː.ɾäː]']"
ज़ख़्म,"['/d͡ʒəkʰ.mᵊ/', '/zəx.mᵊ/']"
ज़नाना,"['/d͡ʒə.nɑː.nɑː/', '[d͡ʒə.n̪äː.n̪äː]', '/zə.nɑː.nɑː/', '[zə.n̪äː.n̪äː]']"
ज़फ़र,"['/d͡ʒə.pʰəɾ/', '/zə.fəɾ/']"
ज़बान,"['/d͡ʒə.bɑːn/', '[d͡ʒə.bä̃ːn̪]', '/zə.bɑːn/', '[zə.bä̃ːn̪]']"
ज़बानी,"['/d͡ʒə.bɑː.niː/', '[d͡ʒə.bäː.n̪iː]', '/zə.bɑː.niː/', '[zə.bäː.n̪iː]']"
ज़ब्त,"['/d͡ʒəbt̪/', '/zəbt̪/']"
ज़मानत,"['/d͡ʒə.mɑː.nət̪/', '[d͡ʒə.mäː.n̪ət̪]', '/zə.mɑː.nət̪/', '[zə.mäː.n̪ət̪]']"
ज़माना,"['/d͡ʒə.mɑː.nɑː/', '[d͡ʒə.mäː.n̪äː]', '/zə.mɑː.nɑː/', '[zə.mäː.n̪äː]']"
ज़मींदार,[]
ज़मीन,"['/d͡ʒə.miːn/', '[d͡ʒə.mĩːn̪]', '/zə.miːn/', '[zə.mĩːn̪]']"
ज़मीनी,"['/d͡ʒə.miː.niː/', '[d͡ʒə.miː.n̪iː]', '/zə.miː.niː/', '[zə.miː.n̪iː]']"
ज़र,"['/d͡ʒəɾ/', '/zəɾ/']"
ज़रा,[]
ज़रूर,"['/d͡ʒə.ɾuːɾ/', '/zə.ɾuːɾ/']"
ज़रूरत,[]
ज़रूरी,"['/d͡ʒə.ɾuː.ɾiː/', '/zə.ɾuː.ɾiː/']"
ज़र्द,[]
ज़र्दा,[]
ज़र्रा,"['/d͡ʒəɾ.ɾɑː/', '[d͡ʒəɾ.ɾäː]', '/zəɾ.ɾɑː/', '[zəɾ.ɾäː]']"
ज़लज़ला,"['/d͡ʒəl.d͡ʒə.lɑː/', '[d͡ʒəl̪.d͡ʒə.l̪äː]', '/zəl.zə.lɑː/', '[zəl̪.zə.l̪äː]']"
ज़हमत,[]
ज़हर,"['/d͡ʒə.ɦəɾ/', '[d͡ʒɛ.ɦɛɾ]', '/zə.ɦəɾ/', '[zɛ.ɦɛɾ]']"
ज़हरीली,"['/d͡ʒəɦ.ɾiː.liː/', '[d͡ʒɛɦ.ɾiː.l̪iː]', '/zəɦ.ɾiː.liː/', '[zɛɦ.ɾiː.l̪iː]']"
ज़ात,"['/d͡ʒɑːt̪/', '[d͡ʒäːt̪]', '/zɑːt̪/', '[zäːt̪]']"
ज़ायक़ा,"['/d͡ʒɑːj.kɑː/', '[d͡ʒäːj.käː]', '/zɑːj.qɑː/', '[zäːj.qäː]']"
ज़ार,[]
ज़ार-ज़ार,[]
ज़ाहिर,"['/d͡ʒɑː.ɦɪɾ/', '[d͡ʒäː.ɦɪɾ]', '/zɑː.ɦɪɾ/', '[zäː.ɦɪɾ]']"
ज़िंदगानी,[]
ज़िंदगी,"['/d͡ʒɪn.d̪ə.ɡiː/', '[d͡ʒɪ̃n̪.d̪ə.ɡiː]', '/zɪn.d̪ə.ɡiː/', '[zɪ̃n̪.d̪ə.ɡiː]']"
ज़िंदा,"['/d͡ʒɪn.d̪ɑː/', '[d͡ʒɪ̃n̪.d̪äː]', '/zɪn.d̪ɑː/', '[zɪ̃n̪.d̪äː]']"
ज़िंदाबाद,"['/d͡ʒɪn.d̪ɑː.bɑːd̪/', '[d͡ʒɪ̃n̪.d̪äː.bäːd̪]', '/zɪn.d̪ɑː.bɑːd̪/', '[zɪ̃n̪.d̪äː.bäːd̪]']"
ज़िक्र,"['/d͡ʒɪk.ɾᵊ/', '/zɪk.ɾᵊ/']"
ज़िद,"['/d͡ʒɪd̪/', '/zɪd̪/']"
ज़िना,[]
ज़िम्मेदार,[]
ज़िम्मेदारी,[]
ज़िला,"['/d͡ʒɪ.lɑː/', '[d͡ʒɪ.l̪äː]', '/zɪ.lɑː/', '[zɪ.l̪äː]']"
ज़ीना,"['/d͡ʒiː.nɑː/', '[d͡ʒiː.n̪äː]', '/ziː.nɑː/', '[ziː.n̪äː]']"
ज़ीरा,"['/d͡ʒiː.ɾɑː/', '[d͡ʒiː.ɾäː]', '/ziː.ɾɑː/', '[ziː.ɾäː]']"
ज़ुल्फ़,"['/d͡ʒʊlpʰ/', '[d͡ʒʊl̪pʰ]', '/zʊlf/', '[zʊl̪f]']"
ज़ेवर,"['/d͡ʒeː.ʋəɾ/', '/zeː.ʋəɾ/']"
ज़ेहन,"['/d͡ʒə.ɦən/', '[d͡ʒɛ.ɦɛ̃n̪]', '/zə.ɦən/', '[zɛ.ɦɛ̃n̪]']"
ज़ोर,"['/d͡ʒoːɾ/', '/zoːɾ/']"
ज़ोरदार,"['/d͡ʒoːɾ.d̪ɑːɾ/', '[d͡ʒoːɾ.d̪äːɾ]', '/zoːɾ.d̪ɑːɾ/', '[zoːɾ.d̪äːɾ]']"
ज़्यादती,"['/d͡ʒjɑː.d̪ə.t̪iː/', '[d͡ʒjäː.d̪ə.t̪iː]', '/zjɑː.d̪ə.t̪iː/', '[zjäː.d̪ə.t̪iː]']"
ज़्यादा,"['/ˈzjaːd̪a/', '/ˈd͡ʒjaːd̪a/']"
जाँबाज़,"['/d͡ʒɑːm.bɑːd͡ʒ/', '[d͡ʒä̃ːm.bäːd͡ʒ]', '/d͡ʒɑːm.bɑːz/', '[d͡ʒä̃ːm.bäːz]']"
जादू,"['/d͡ʒɑː.d̪uː/', '[d͡ʒäː.d̪uː]']"
जादूगर,"['/d͡ʒɑː.d̪uː.ɡəɾ/', '[d͡ʒäː.d̪uː.ɡəɾ]']"
जान,"['/d͡ʒɑːn/', '[d͡ʒä̃ːn̪]', '/d͡ʑɑ́ː.nɐ/', '/ˈd͡ʑɑː.n̪ɐ/']"
जानवर,"['/d͡ʒɑːn.ʋəɾ/', '[d͡ʒä̃ːn̪.wəɾ]']"
जाम,"['/d͡ʒɑːm/', '[d͡ʒä̃ːm]']"
जामा,[]
जायज़,"['/d͡ʒɑː.jəd͡ʒ/', '[d͡ʒäː.jəd͡ʒ]', '/d͡ʒɑː.jəz/', '[d͡ʒäː.jəz]']"
जायदाद,"['/d͡ʒɑːj.d̪ɑːd̪/', '[d͡ʒäːj.d̪äːd̪]']"
जारी,"['/d͡ʒɑː.ɾiː/', '[d͡ʒäː.ɾiː]', '/d͡ʑa.ɾi/', '[d͡ʑa.ɾiː]']"
जाली,[]
जासूस,"['/d͡ʒɑː.suːs/', '[d͡ʒäː.s̪uːs̪]']"
जाहिल,"['/d͡ʒɑː.ɦɪl/', '[d͡ʒäː.ɦɪl̪]']"
जिगर,[]
जिबुती,['/d͡ʒɪ.bʊ.t̪iː/']
जुदा,"['/d͡ʒʊ.d̪ɑː/', '[d͡ʒʊ.d̪äː]']"
जुदाई,"['/d͡ʒʊ.d̪ɑː.iː/', '[d͡ʒʊ.d̪äː.iː]']"
जुनून,"['/d͡ʒʊ.nuːn/', '[d͡ʒʊ.n̪ũːn̪]']"
जुमा,"['/d͡ʒʊ.mɑː/', '[d͡ʒʊ.mäː]']"
जुर्माना,"['/d͡ʒʊɾ.mɑː.nɑː/', '[d͡ʒʊɾ.mäː.n̪äː]']"
जुस्तजू,"['/d͡ʒʊs.t̪ə.d͡ʒuː/', '[d͡ʒʊs̪.t̪ə.d͡ʒuː]']"
जेब,['/d͡ʒeːb/']
जोश,['/d͡ʒoːʃ/']
तंग,"['/t̪əŋɡ/', '[t̪ə̃ŋɡ]']"
तंगी,[]
तंज़,"['/t̪ə̃d͡ʒ/', '/t̪ə̃z/']"
तंदुरुस्त,"['/t̪ən.d̪ʊ.ɾʊst̪/', '[t̪ə̃n̪.d̪ʊ.ɾʊs̪t̪]']"
तंदूर,[]
तंबाकू,[]
तंबू,"['/t̪əm.buː/', '[t̪ə̃m.buː]']"
तक़दीर,"['/t̪ək.d̪iːɾ/', '/t̪əq.d̪iːɾ/']"
तक़रीबन,"['/t̪ək.ɾiː.bən/', '[t̪ək.ɾiː.bə̃n̪]', '/t̪əq.ɾiː.bən/', '[t̪əq.ɾiː.bə̃n̪]']"
तक़सीम,"['/t̪ək.siːm/', '[t̪ək.s̪ĩːm]', '/t̪əq.siːm/', '[t̪əq.s̪ĩːm]']"
तक़ाज़ा,"['/t̪ə.kɑː.d͡ʒɑː/', '[t̪ə.käː.d͡ʒäː]', '/t̪ə.qɑː.zɑː/', '[t̪ə.qäː.zäː]']"
तख़्त,"['/t̪əkʰt̪/', '/t̪əxt̪/']"
तख़्ता,[]
तजल्ली,"['/t̪ə.d͡ʒəl.liː/', '[t̪ə.d͡ʒəl̪.l̪iː]']"
तजुर्बा,"['/t̪ə.d͡ʒʊɾ.bɑː/', '[t̪ə.d͡ʒʊɾ.bäː]']"
तनख़्वाह,"['/t̪ən.kʰʋɑːɦ/', '[t̪ə̃n̪.kʰʋäːɦ]', '/t̪ən.xʋɑːɦ/', '[t̪ə̃n̪.xʋäːɦ]', '/t̪ən.kʰɑːɦ/', '[t̪ə̃n̪.kʰäːɦ]', '/t̪ən.xɑːɦ/', '[t̪ə̃n̪.xäːɦ]']"
तनहा,[]
तनहाई,"['/t̪ən.ɦɑː.iː/', '[t̪ə̃n̪.ɦäː.iː]']"
तना,"['/t̪ə.nɑː/', '[t̪ə.n̪äː]', '/tɐ.nɑː/', '/ˈt̪ɐ.n̪ɑː/']"
तनूर,[]
तपेदिक़,"['/t̪ə.peː.d̪ɪk/', '/t̪ə.peː.d̪ɪq/']"
तबदील,"['/t̪əb.d̪iːl/', '[t̪əb.d̪iːl̪]']"
तबाह,"['/t̪ə.bɑːɦ/', '[t̪ə.bäːɦ]']"
तबाही,"['/t̪ə.bɑː.ɦiː/', '[t̪ə.bäː.ɦiː]']"
तबीब,['/t̪ə.biːb/']
तबीयत,['/t̪ə.biː.jət̪/']
तमंचा,"['/t̪ə.mən.t͡ʃɑː/', '[t̪ə.mə̃n̪.t͡ʃäː]']"
तमग़ा,"['/t̪əm.ɡɑː/', '[t̪ə̃m.ɡäː]', '/t̪əm.ɣɑː/', '[t̪ə̃m.ɣäː]']"
तमन्ना,"['/t̪ə.mən.nɑː/', '[t̪ə.mə̃n̪.n̪äː]']"
तमाचा,"['/t̪ə.mɑː.t͡ʃɑː/', '[t̪ə.mäː.t͡ʃäː]']"
तमाम,"['/t̪ə.mɑːm/', '[t̪ə.mä̃ːm]']"
तमीज़,"['/t̪ə.miːd͡ʒ/', '/t̪ə.miːz/']"
तर,"['/t̪əɾ/', '[t̪ʌɾʌ]', '[t̪ʌr]']"
तरक़्क़ी,"['/t̪ə.ɾək.kiː/', '[t̪ə.ɾək̚.kiː]', '/t̪ə.ɾəq.qiː/']"
तरतीब,['/t̪əɾ.t̪iːb/']
तरफ़दार,"['/t̪ə.ɾəpʰ.d̪ɑːɾ/', '[t̪ə.ɾəpʰ.d̪äːɾ]', '/t̪ə.ɾəf.d̪ɑːɾ/', '[t̪ə.ɾəf.d̪äːɾ]']"
तरबूज़,"['/t̪əɾ.buːd͡ʒ/', '/t̪əɾ.buːz/']"
तरबूज़ा,"['/t̪əɾ.buː.d͡ʒɑː/', '[t̪əɾ.buː.d͡ʒäː]', '/t̪əɾ.buː.zɑː/', '[t̪əɾ.buː.zäː]']"
तराज़ू,"['/t̪ə.ɾɑː.d͡ʒuː/', '[t̪ə.ɾäː.d͡ʒuː]', '/t̪ə.ɾɑː.zuː/', '[t̪ə.ɾäː.zuː]']"
तराना,"['/t̪ə.ɾɑː.nɑː/', '[t̪ə.ɾäː.n̪äː]']"
तराशा,"['/t̪ə.ɾɑː.ʃɑː/', '[t̪ə.ɾäː.ʃäː]']"
तरोताज़ा,"['/t̪ə.ɾoː.t̪ɑː.d͡ʒɑː/', '[t̪ə.ɾoː.t̪äː.d͡ʒäː]', '/t̪ə.ɾoː.t̪ɑː.zɑː/', '[t̪ə.ɾoː.t̪äː.zäː]']"
तर्ज़,"['/t̪əɾd͡ʒ/', '/t̪əɾz/']"
तर्जुमा,"['/t̪əɾ.d͡ʒʊ.mɑː/', '[t̪əɾ.d͡ʒʊ.mäː]']"
